participantId,firstName,parent_nickname,age,age_in_days_chs,age_rounded_chs,age_years_chs,age_in_days_used,age_years_used,age_source,gender,age_at_birth,language_list,condition_list,additional_information,chs_child_hash,chs_response_uuid,participant_hashed_id,chs_match_status,chsId,versionThisBlock,versionClose,versionBoss,blockBoss,blockClose,blockOrder,blockCurrent,questionType,epistemic,blockRoleA,blockRoleB,rolesSwapped,effectiveRoleA,effectiveRoleB,dataExportTag,target,behavior,personA,groupA,personB,groupB,speechA,speechB,portraitImgShown,actionImgShown,orangeImgShown,greenImgShown,chosenName,chosenGroup,chosenRole,responseRecode,hypothesisConsistent,rt_ms,timestamp
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,B,A,B,yes2_boss,yes1_close,boss_close,yes2_boss,boss,yes,individual,group,True,group,individual,Pinecones_Yes_2_b,Blake,pinecones,Zara,flurp,Bryn,zazzo,"Yes, Wugs like to pile up pinecones into a tall tower.","Yes, Blake likes to pile up pinecones into a tall tower.",blake.png,blake_pinecones.png,orange15.png,green6.png,Zara,flurp,group,1,1,28233,2026-06-20T22:23:32.358Z
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,B,A,B,yes2_boss,yes1_close,boss_close,yes2_boss,boss,yes,individual,group,True,group,individual,Plants_Yes_2_b,Sage,plants,Juno,flurp,Reed,zazzo,"Yes, Wugs like to talk to plants.","Yes, Sage likes to talk to plants.",sage.png,sage_plants.png,orange7.png,green7.png,Reed,zazzo,individual,2,0,17554,2026-06-20T22:24:15.904Z
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,B,A,B,yes2_boss,yes1_close,boss_close,yes2_boss,boss,yes,individual,group,True,group,individual,Sniffing_Yes_2_b,Arlo,sniffing,Cora,flurp,Beau,zazzo,"Yes, Wugs like to sniff things before touching them.","Yes, Arlo likes to sniff things before touching them.",arlo.png,arlo_sniffing.png,orange14.png,green2.png,Cora,flurp,group,1,1,18706,2026-06-20T22:25:04.811Z
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,B,A,B,yes2_boss,yes1_close,boss_close,yes2_boss,boss,yes,individual,group,False,individual,group,Rocks_Yes_2_b,Sam,rocks,Nova,flurp,Finn,zazzo,"Yes, Sam likes to pick up rocks and put them in their pocket.","Yes, Wugs like to pick up rocks and put them in their pocket.",sam.png,sam_rocks.png,orange14.png,green10.png,Finn,zazzo,group,1,1,17608,2026-06-20T22:25:47.316Z
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,B,A,B,yes2_boss,yes1_close,boss_close,yes2_boss,boss,yes,individual,group,True,group,individual,Spinning_Yes_2_b,Wren,spinning,Lumi,flurp,Flint,zazzo,"Yes, Wugs like to spin around before sitting down.","Yes, Wren likes to spin around before sitting down.",wren.png,wren_spinning.png,orange8.png,green.png,Flint,zazzo,individual,2,0,15776,2026-06-20T22:26:33.502Z
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,B,A,B,yes2_boss,yes1_close,boss_close,yes2_boss,boss,yes,individual,group,True,group,individual,Backwards_Yes_2_b,Theo,backwards,Cleo,flurp,Moss,zazzo,"Yes, Wugs like to walk backwards.","Yes, Theo likes to walk backwards.",theo.png,theo_backwards.png,orange4.png,green2.png,Cleo,flurp,group,1,1,13253,2026-06-20T22:27:13.802Z
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,A,A,B,yes2_boss,yes1_close,boss_close,yes1_close,close,yes,group,individual,True,individual,group,Climb_Yes_1,Taylor,walls,Finley,flurp,Robin,zazzo,"Yes, Taylor likes to climb tall buildings.","Yes, Wugs like to climb tall buildings.",taylor.png,taylor_walls.png,orange9.png,green6.png,Finley,flurp,individual,2,1,13829,2026-06-20T22:28:32.737Z
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,A,A,B,yes2_boss,yes1_close,boss_close,yes1_close,close,yes,group,individual,True,individual,group,Bugs_Yes_1,Rowan,bugs,Emery,flurp,Jules,zazzo,"Yes, Rowan likes to play with bugs.","Yes, Wugs like to play with bugs.",rowan.png,rowan_bugs.png,orange6.png,green7.png,Jules,zazzo,group,1,0,13212,2026-06-20T22:29:12.587Z
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,A,A,B,yes2_boss,yes1_close,boss_close,yes1_close,close,yes,group,individual,False,group,individual,Flowers_Yes_1,Riley,flowers,Ash,flurp,Charlie,zazzo,"Yes, Wugs like to eat flowers.","Yes, Riley likes to eat flowers.",riley.png,riley_flowers.png,orange10.png,green2.png,Charlie,zazzo,individual,2,1,12533,2026-06-20T22:29:59.484Z
TT001_1781993928718,Joshua,Steph,4,1557.0,1560.0,4.262833675564682,1557.0,4.262833675564682,CHS,m,40 or more weeks,en,,,ZTLKAN,8fff9d0a-c27a-4889-9daf-08c5fba3c906,c6ZcXE,ok,,A,A,B,yes2_boss,yes1_close,boss_close,yes1_close,close,yes,group,individual,True,individual,group,Balls_Yes_1,Alex,balls,Quinn,flurp,Drew,zazzo,"Yes, Alex likes to bounce balls on their heads.","Yes, Wugs like to bounce balls on their heads.",alex.png,alex_ball.png,orange11.png,green.png,Drew,zazzo,group,1,0,15302,2026-06-20T22:30:42.538Z
